Name,Image,District/ward,Borough,Region,Type,Summary
2 Willow Road,,Hampstead,Camden,North,Historic house,"Operated by the National Trust, modernist terrace house designed by Ernő 
Goldfinger, features a significant collection of 20th-century art"
7 Hammersmith Terrace,,Hammersmith,Hammersmith and Fulham,West,Historic house,"Former home of Emery Walker, friend and mentor to William Morris, house 
features Arts and Crafts style interior"
18 Stafford Terrace,,Holland Park,Kensington and Chelsea,West,Historic house,"Also known as Linley Sambourne House, home of the Victorian *Punch* 
cartoonist Edward Linley Sambourne, features much of his work"
575 Wandsworth Road,,Clapham,Lambeth,South,Historic house,"Operated by the National Trust, 18th century terrace house with interiors 
designed by Kenyan poet and civil servant Khadambi Asalache"
All Hallows-by-the-Tower Crypt Museum,,Tower,City of London,North East,Religious,"Saxon-period Anglican church, museum of church's history, including Roman 
and Saxon artefacts, historic religious artefacts"
Anaesthesia Heritage Centre,,Fitzrovia,Westminster,North,Medical,"History of anaesthesia and the Association of Anaesthetists of Great 
Britain and Ireland"
Apsley House,,Hyde Park Corner,Westminster,North,Historic house,"Operated by English Heritage, also known as Wellington Museum, home of The 
Duke of Wellington, significant collections of paintings, porcelain, 
sculpture and furniture"
Arsenal Football Club Museum,,Holloway,Islington,North,Sports,History and memorabilia of the Arsenal F.C.
Art in Perpetuity Trust,,Deptford,Lewisham,South East,Art,Contemporary visual art
artsdepot,,Finchley,Barnet,North,Art,Arts centre with exhibit gallery
Baden-Powell House Exhibition,,South Kensington,Kensington and Chelsea,West,Biographical,"History of Lord Baden-Powell, the founder of Scouting"
Bank of England Museum,,City of London,City of London,North East,Numismatic,"History of the Bank and its activities, banknotes and coins, books and 
documents, pictures, furniture, statues, silver"
Bankside Gallery,,Bankside,Southwark,South East,Art,"Educational charity, home to the Royal Watercolour Society and the Royal 
Society of Painter Printmakers"
"Banqueting House, Whitehall",,Whitehall,Westminster,North,Historic house,"17th century ornate building used for entertaining, designed by Inigo Jones, 
only remaining component of the Palace of Whitehall"
Barbican Centre,,Barbican Estate,City of London,North East,Art,Arts centre and gallery
Barnet Museum,,Barnet,Barnet,North,Local,"Local history, costumes, domestic items, lace"
Battle of Britain Bunker,,Uxbridge,Hillingdon,West,History,"Museum and restored underground operations room at formerly used by No. 11 
Group Fighter Command during World War II"
"Ben Uri Gallery, The London Jewish Museum of Art",,St John's Wood,Westminster,North,Art,Jewish art
Benjamin Franklin House,,,Westminster,North,Historic house,"18th-century house where Benjamin Franklin lived for 16 years, exhibits on 
his life, science activities"
Bentley Priory Museum,,Stanmore,Harrow,West,History,"Museum in former officers' mess at former RAF base at Bentley Priory, used 
by the RAF Fighter Command and Royal Observer Corps during World War II, 
focuses on its role as Headquarters Fighter Command during the Battle of 
Britain"
Bethlem Museum of the Mind,,Beckenham,Bromley,South East,Medical,Art by patients and historic artefacts of Bethlem Royal Hospital
Borough Road Gallery,,,Southwark,South East,Art,"Part of London South Bank University, celebrates the artist David Bomberg 
and includes the Sarah Rose Collection of his pictures and those of other 
artists in the Borough Group"
Boston Manor House,,Boston Manor,Hounslow,West,Historic house,17th century Jacobean manor house
Brent Museum,,Willesden,Brent,West,Local,"Located in the Willesden Green Library Centre, local history and culture, 
formerly the ""Grange Museum of Community History""[1]"
British Airways Heritage Centre,,Hatton,Hounslow,West,Aviation,"History and memorabilia of British Airways, including uniforms, aircraft 
models and pictures, posters and photographs[2]"
British Dental Association Museum,,,Westminster,North,Medical,History of dental care in the United Kingdom
British Library,,St Pancras,Camden,North,Library,"Changing exhibits of art, history and culture from its collections"
British Museum,,Bloomsbury,Camden,North,Multiple,"Art, decorative arts, archaeology, antiquities from Ancient Egypt, Rome, 
Greece and the Middle East, coins, galleries on Africa, North America, 
Mexico, Asia"
British Optical Association Museum,,Charing Cross,Westminster,North,Medical,History of eye care
British Postal Museum and Archive,,Clerkenwell,Islington,North,Philatelic,"Postal communications history, stamps, letters, artefacts"
British Red Cross Museum and Archives,,Moorgate,City of London,North East,Medical,"History and memorabilia of the British Red Cross, open by appointment only"
Bromley Museum,,Orpington,Bromley,South East,Local,Local history and culture[3]
Bruce Castle Museum,,Tottenham,Haringey,North,Local,"Local history, culture"
Brunei Gallery,,Bloomsbury,Camden,North,Art,"Part of the School of Oriental and African Studies of the University of 
London, historic and contemporary works from and about Africa and Asia, 
including photography and culture"
Brunel Museum,,Rotherhithe,Southwark,South East,Technology,"History of the construction of the Thames Tunnel and its designers, Sir Marc 
Isambard Brunel"
Buckingham Palace,,,Westminster,North,Historic house,"Official London residence of the British monarch, public tours of the state 
rooms, includes Queen's Gallery and Royal Mews"
The Building Centre,,Bloomsbury,Camden,North,Design,Exhibits on architecture and design[4]
Burgh House & Hampstead Museum,,Hampstead,Camden,North,Local,"Local history, culture, art exhibits"
Calvert 22,,Shoreditch,Hackney,North,Art,Russian and East European contemporary art[5]
Camden Arts Centre,,Hampstead,Camden,North,Art,Changing exhibits of contemporary art
Canada House Gallery,,Trafalgar Square,Westminster,North,Art,Canadian historical and contemporary art and artefacts
Carlyle's House,,Chelsea,Kensington and Chelsea,West,Historic house,"Operated by the National Trust, Victorian period townhouse home of 
historian and philosopher Thomas Carlyle"
Cartoon Museum,,Bloomsbury,Camden,North,Art,"Political cartoons, comic strips and comic books"
Centre for Recent Drawing,,,Islington,North,Art,Contemporary drawings
Charles Dickens Museum,,Holborn,Camden,North,Historic house,"Mid-19th century period house with original papers, furniture and items 
relating to author Charles Dickens"
Chartered Insurance Institute Museum,,Aldermanbury,City of London,North East,Firefighting,
Chelsea Physic Garden,,Chelsea,Kensington and Chelsea,West,Medical,Botanical garden with displays on medicinal uses of plants
Chisenhale Gallery,,,Tower Hamlets,North East,Art,Non-profit contemporary art gallery
Chiswick House,,Chiswick,Hounslow,West,Historic house,"18th century neo-Palladian villa with large collection of art and 
furniture, gardens"
Churchill War Rooms,,Whitehall,Westminster,North,Multiple,"Includes the World War II-era underground Cabinet War Rooms and the 
Churchill Museum with exhibits about the life of British statesman Winston 
Churchill"
City of London Police Museum,,City of London,City of London,North East,Law enforcement,"Uniforms, Victorian-era police equipment, communications devices, famous 
murders, WWII display"
Cinema Museum,,Lambeth,Lambeth,South West,Media,History and artefacts of film making
Clarence House,,Pall Mall,Westminster,North,Historic house,Official residence of The Prince of Wales and The Duchess of Cornwall
Clink Prison Museum,,Southwark,Southwark,South East,Prison,"Site and history of the notorious prison in use from the 12th century to 
1780"
Clowns Gallery-Museum,,Dalston,Hackney,North,Clowning,"Photos, posters, art, costumes and props from clowns"
Couper Collection,,Battersea,Wandsworth,South West,Art,"Floating art museum on barges, open by appointment"
